,DATE,STEP,NPD_WELL_BORE_NAME,BTHP,BTHT,DP,CS,WHP,WHT,OIL,GAS,WATER
700,2011-06-02,1206,15/9-F-14,248.81221227711163,103.8217078728279,208.34130411048838,61.686222666666666,40.47090816662325,90.05851600443256,1359.53,209110.51,2771.94
701,2011-06-03,1207,15/9-F-14,246.45208625,103.83028583333333,207.7340875,70.09329416666667,38.71799875,91.08101666666667,1547.21,242896.83,4277.82
702,2011-06-04,1208,15/9-F-14,246.43814645833334,103.82588229166667,207.67711791666667,70.15967895833333,38.76102854166667,91.29933875,1577.17,247544.6,4285.88
703,2011-06-05,1209,15/9-F-14,246.4895,103.81718458333333,207.72180729166666,70.14858770833334,38.767692708333335,91.41048895833333,1588.29,248624.44,4294.51
704,2011-06-06,1210,15/9-F-14,246.52454425531914,103.80849425531915,207.76977127659575,68.71405729166666,38.7547729787234,91.44224489361702,1617.42,253098.31,4292.59
705,2011-06-07,1211,15/9-F-14,246.62066541666667,103.7982725,207.82064645833333,69.93910083333333,38.80001895833333,91.42760270833334,1615.64,252550.17,4285.43
706,2011-06-08,1212,15/9-F-14,246.71318166666666,103.786390625,207.95488041666667,69.66790395833333,38.75830125,89.33916520833333,1608.44,252044.36,4257.0
707,2011-06-09,1213,15/9-F-14,246.7429125,103.77592770833333,207.96310770833333,69.6534925,38.77980479166666,90.78267125,1614.41,252281.34,4257.83
708,2011-06-10,1214,15/9-F-14,246.73862125,103.76485729166667,207.88783145833332,69.59435083333334,38.850789791666664,91.456036875,1615.37,252053.78,4268.05
709,2011-06-11,1215,15/9-F-14,246.74204625,103.75434479166667,207.87604354166666,69.56378916666667,38.86600270833333,91.56259583333333,1616.16,252651.35,4269.21
710,2011-06-12,1216,15/9-F-14,246.69903208333332,103.743195,207.88142666666667,69.63218041666667,38.817605416666666,91.3723975,1625.51,252531.85,4259.8
711,2011-06-13,1217,15/9-F-14,246.66900958333332,103.73256208333333,207.96241020833332,69.67965666666667,38.706599375,89.98873145833333,1630.18,252764.28,4260.12
712,2011-06-14,1218,15/9-F-14,246.92286145833333,103.72038875,207.89286541666667,68.1927225,39.029996041666664,90.45773583333333,1621.78,252235.91,4239.79
713,2011-06-15,1219,15/9-F-14,247.01998583333332,103.706668125,207.95071125,67.70439770833333,39.06927458333333,90.43772395833334,1616.63,251188.39,4232.4
714,2011-06-16,1220,15/9-F-14,248.24946916666667,103.68308958333333,208.007915,67.74250833333333,40.24155416666667,89.50701875,1564.69,240681.17,4164.44
715,2011-06-17,1221,15/9-F-14,247.93247770833332,103.67091458333333,207.90459416666667,67.68635375,40.02788354166667,91.418963125,1582.42,245234.01,4269.39
716,2011-06-18,1222,15/9-F-14,247.06132645833333,103.67465041666667,207.95860354166666,67.64705083333334,39.102722916666664,91.31674895833333,1617.29,252795.39,4238.67
717,2011-06-19,1223,15/9-F-14,247.0871475,103.66585708333334,207.95190895833332,67.61228354166667,39.135238541666666,91.51271020833333,1616.68,252440.38,4247.26
718,2011-06-20,1224,15/9-F-14,248.49965139186295,103.65853147751606,207.91943698072805,63.23126083333333,40.580214411134904,91.27050736616702,928.17,121322.71,1935.81
719,2011-07-01,1235,15/9-F-14,247.451215,103.49394729166667,202.93178604166667,62.873416041666665,44.519428958333336,84.794710625,1344.49,208900.3,3658.72
720,2011-07-02,1236,15/9-F-14,245.53703885993485,103.60204469055374,202.8448461889251,65.263494375,42.69219267100977,88.53042511400652,545.72,75539.21,1205.15
721,2011-07-03,1237,15/9-F-14,250.38518758425326,103.3678792378522,205.19588390020326,54.085479444444445,45.189303684049996,80.31011035077947,400.99,79342.66,1145.41
722,2011-07-04,1238,15/9-F-14,244.93419946978344,103.52884809966895,202.412453913876,64.48400833333334,42.52174555590742,88.82533720120746,645.93,93788.53,1416.16
723,2011-07-07,1241,15/9-F-14,251.5968502288581,103.31814629486672,202.90561222623992,51.5484,48.691238002618185,75.44360679489553,513.96,89700.6,1337.89
724,2011-07-08,1242,15/9-F-14,242.64824132921174,103.56738612055642,201.39240595054096,64.61095393939394,41.25583537867079,86.267248438949,1263.32,188460.62,2654.79
725,2011-07-10,1244,15/9-F-14,247.67200588689272,103.46680204137209,202.82751197556252,57.54939543478261,44.84449391133021,86.56497684616625,1831.94,286417.43,4417.06
726,2011-07-11,1245,15/9-F-14,242.70451072817372,103.53580503118,201.26287679012614,65.73413081081081,41.441633938047595,89.67647193375403,1508.01,218369.72,3115.07
727,2011-07-15,1249,15/9-F-14,272.77844110848156,102.78352025106463,201.92761093787396,20.34227,70.85083017060762,52.496316528014546,141.26,13405.71,177.76
728,2011-07-16,1250,15/9-F-14,244.1187696868009,103.4727725950783,199.9600722147651,60.09230434782609,44.1586974720358,86.20904049217002,815.04,129292.06,1824.77
729,2011-07-20,1254,15/9-F-14,244.7537430360149,103.39293541276477,198.1895800828647,56.821186363636365,46.5641629531502,83.77438690339416,1791.46,273791.52,3423.35
730,2011-07-21,1255,15/9-F-14,240.88763229166668,103.47464,198.62146604166668,63.986081666666664,42.26616625,88.91887645833333,2197.54,336051.8,4215.31
731,2011-07-22,1256,15/9-F-14,243.1449594136272,103.49826928730627,199.34356097649373,58.510582,43.80139843713347,88.73381748321286,697.53,96200.72,1163.16
732,2011-07-25,1259,15/9-F-14,245.30970198360131,103.33033148563806,198.41260280684963,56.875884444444445,46.89709917675168,82.61653343901109,1417.3,217027.56,2827.39
733,2011-07-26,1260,15/9-F-14,241.41832893035442,103.48057160044756,197.84035536630222,60.99231976190476,43.57797356405221,88.88005335886231,1989.87,290164.24,3539.19
734,2011-07-28,1262,15/9-F-14,250.46190654840194,103.24397005878433,200.51384473073634,46.751403333333336,49.94806181766562,76.85134207827612,580.82,88657.78,1224.2
735,2011-07-29,1263,15/9-F-14,240.33217041666666,103.48227291666667,197.60825895833332,63.5486925,42.72391145833333,88.42180645833334,2240.52,341849.76,4126.53
736,2011-07-30,1264,15/9-F-14,249.80761327702024,103.48849098006978,199.37427064035495,46.96767,50.43334263666529,87.9708539987274,266.13,30995.03,376.57
737,2011-08-04,1269,15/9-F-14,245.4926319169329,103.22503252396166,196.7713498402556,56.545588125,48.72128207667732,76.57250642172524,707.98,106399.36,1258.1
738,2011-08-05,1270,15/9-F-14,238.61797666666666,103.42759875,195.57761979166668,65.506963125,43.040356875,87.93483291666666,2390.38,361028.08,4100.15
739,2011-08-06,1271,15/9-F-14,241.9693240424021,103.43103533819185,197.88169780512803,58.70733108695652,44.087626237274065,88.04439385813042,2082.57,317415.74,4804.77
740,2011-08-07,1272,15/9-F-14,241.51582604166666,103.49028916666667,197.52713708333334,58.920629375,43.988688958333334,88.71157958333333,2241.05,344364.63,3978.72
741,2011-08-08,1273,15/9-F-14,242.95407875,103.497416875,198.2135275,55.84897645833333,44.74055125,88.625803125,2159.35,331705.5,3953.93
742,2011-08-09,1274,15/9-F-14,243.60783270833332,103.50712625,198.42295541666667,54.47328770833333,45.184877291666666,88.54236458333334,2110.26,324079.52,3969.66
743,2011-08-10,1275,15/9-F-14,244.56391833333333,103.494095625,198.76588020833333,52.60822854166667,45.798038125,89.10539625,1993.98,306286.96,3826.54
744,2011-08-11,1276,15/9-F-14,245.21334541666667,103.4832975,199.161788125,51.852759791666664,46.05155729166667,89.22506416666667,1934.1,298095.76,3812.52
745,2011-08-12,1277,15/9-F-14,245.41405229166668,103.48159104166666,199.56225520833334,51.96696854166667,45.85179708333333,89.15690291666667,1906.75,293605.94,3842.46
746,2011-08-13,1278,15/9-F-14,245.854750625,103.47424083333334,200.08119729166665,52.22679229166667,45.77355333333333,87.12225104166667,1876.97,289899.01,3860.49
747,2011-08-14,1279,15/9-F-14,246.10796229166667,103.464194375,200.43762166666667,52.183028541666665,45.670340625,88.92414625,1850.03,285818.74,3875.98
748,2011-08-15,1280,15/9-F-14,246.353921875,103.44906916666666,200.76017791666666,52.034701875,45.593743958333334,89.516114375,1822.57,283878.27,3887.44
749,2011-08-16,1281,15/9-F-14,247.36459645833332,103.426614375,201.21458416666667,50.727550208333334,46.15001229166667,89.24863083333334,1779.02,275440.97,3861.97
750,2011-08-17,1282,15/9-F-14,247.79941229166667,103.40616354166667,201.415374375,50.05349520833333,46.384037916666664,89.45274770833333,1749.34,271770.49,3858.85
751,2011-08-18,1283,15/9-F-14,247.90968666666666,103.38973583333333,201.6768975,50.0501925,46.23278916666667,89.61870208333333,1736.79,270589.91,3876.81
752,2011-08-19,1284,15/9-F-14,248.02189958333332,103.37290770833333,201.97985854166666,50.05147791666667,46.042041041666664,89.56192770833333,1725.81,266529.86,3899.15
753,2011-08-20,1285,15/9-F-14,248.070846875,103.35687125,202.30957645833334,50.06893208333333,45.76127041666667,88.45789729166667,1709.91,264776.73,3907.67
754,2011-08-21,1286,15/9-F-14,248.22486604166667,103.34128125,202.574315625,50.05784979166667,45.65055041666667,88.49709354166667,1693.9,262725.91,3918.84
755,2011-08-22,1287,15/9-F-14,248.37415583333333,103.32836458333334,202.75239875,50.0065175,45.621757083333335,89.380479375,1681.07,260328.28,3931.83
756,2011-08-23,1288,15/9-F-14,248.0445275,103.323048125,202.95071458333334,50.844809375,45.093812916666664,89.582910625,1677.95,260476.0,3957.31
757,2011-08-24,1289,15/9-F-14,248.31247145833333,103.315955625,203.302905,51.28975770833333,45.00956645833333,88.25915354166666,1657.25,257809.18,3971.18
758,2011-08-25,1290,15/9-F-14,248.7495993054767,103.30416448645909,203.57319731048395,50.278077021276594,45.17640199499273,88.209441170663,1573.4,244735.79,3926.72
759,2011-08-26,1291,15/9-F-14,253.0558037166697,103.25107783076484,205.0582457627669,45.597781914893616,47.9975579539028,86.58375808130877,1352.49,211795.05,3614.51
760,2011-08-27,1292,15/9-F-14,248.23443875,103.28705541666666,204.02857541666665,51.98583375,44.20586333333333,89.26275,1619.61,251644.88,4113.89
761,2011-08-28,1293,15/9-F-14,248.12669708333334,103.27840979166666,204.07281083333334,52.035522916666665,44.05388625,87.80912270833333,1626.86,253629.79,4128.25
762,2011-08-29,1294,15/9-F-14,247.35965020833333,103.27585833333333,204.03962375,54.145075,43.32002645833333,88.68928895833334,1660.56,258456.03,4202.78
763,2011-08-30,1295,15/9-F-14,246.19071270833334,103.28311166666667,203.959091875,58.20419291666666,42.23162083333333,89.48883604166667,1708.86,264699.75,4302.93
764,2011-08-31,1296,15/9-F-14,246.30183583333334,103.27795145833333,203.95831854166667,58.193995208333334,42.343517291666664,89.55713,1701.47,263621.76,4291.32
765,2011-09-01,1297,15/9-F-14,246.08707270833332,103.274975625,203.95985166666668,58.541306666666664,42.127221041666665,89.72935479166667,1698.77,263925.37,4305.67
766,2011-09-02,1298,15/9-F-14,245.58434791666667,103.27865520833333,204.070011875,60.335241458333336,41.51433604166667,87.59262729166667,1715.43,267729.59,4361.99
767,2011-09-03,1299,15/9-F-14,245.65888375,103.27894604166667,204.10655958333334,60.313339791666664,41.552324166666665,88.37044895833333,1712.95,267232.45,4363.97
768,2011-09-04,1300,15/9-F-14,245.71553104166668,103.28065166666667,204.07340708333334,60.23968229166667,41.642123958333336,89.35606520833333,1710.99,265997.32,4360.84
769,2011-09-05,1301,15/9-F-14,245.41760333333335,103.28549354166667,204.14451583333334,61.667269375,41.2730875,88.91471270833334,1714.87,268194.34,4384.14
770,2011-09-06,1302,15/9-F-14,245.430491875,103.28546479166667,204.26376604166666,62.312304583333336,41.16672583333333,87.66834458333334,1712.36,271403.05,4392.31
771,2011-09-07,1303,15/9-F-14,245.105075625,103.28765604166666,204.254589375,63.36221770833333,40.85048625,89.12690291666667,1708.36,270532.04,4272.1
772,2011-09-08,1304,15/9-F-14,244.78780520833334,103.29015270833334,204.31208354166668,64.95809583333333,40.475721666666665,89.458185625,1714.58,272010.09,4318.7
773,2011-09-09,1305,15/9-F-14,244.877839375,103.28782625,204.42472791666665,66.10775520833333,40.45311145833333,89.72363625,1718.27,271462.0,4321.94
774,2011-09-10,1306,15/9-F-14,244.94692875,103.28372083333333,204.59202666666667,66.11365458333333,40.354902083333336,88.479268125,1706.64,268694.85,4333.7
775,2011-09-11,1307,15/9-F-14,244.99541833333333,103.27959666666666,204.72088479166666,66.12885104166666,40.27453354166666,88.22232708333334,1700.34,266849.89,4336.75
776,2011-09-12,1308,15/9-F-14,244.7667425,103.27923041666666,204.78885083333333,67.64258958333333,39.977891666666665,87.62030041666667,1709.93,267697.86,4360.64
777,2011-09-13,1309,15/9-F-14,252.2744278154804,103.11912553845293,206.4967464592509,54.202843225806454,45.77768135622952,82.47903706946451,944.17,145355.28,5691.77
778,2011-09-14,1310,15/9-F-14,244.75147791666666,103.27537416666667,205.39150395833335,70.15889208333333,39.359973958333335,89.92043020833333,1567.69,246952.99,5267.37
779,2011-09-15,1311,15/9-F-14,243.69323229166667,103.25712583333333,204.40777666666668,71.73619875,39.285455625,89.510331875,1611.04,253206.06,4727.77
780,2011-09-16,1312,15/9-F-14,243.390124375,103.25398145833333,204.34360625,74.13533625,39.046518125,89.42659479166667,1731.83,272150.89,4400.19
781,2011-09-17,1313,15/9-F-14,242.737544375,103.24380875,204.05508333333333,76.15490541666667,38.68246104166667,87.663123125,1748.28,275021.08,4346.26
782,2011-09-18,1314,15/9-F-14,242.70645,103.2426,204.03912,76.30241,38.66733,88.14867,1754.97,278475.37,4528.11
783,2011-09-19,1315,15/9-F-14,242.70645,103.2426,204.03912,76.30241,38.66733,88.14867,1765.28,278686.81,4268.94
784,2011-09-20,1316,15/9-F-14,243.3009799999999,103.23950000000013,204.50550499999963,77.80532500000014,38.79547500000028,88.25907999999991,1776.07,280185.97,4339.97
785,2011-09-21,1317,15/9-F-14,244.66166,103.24363541666666,206.52051208333333,79.13945125,38.14114791666667,88.94360145833333,1758.96,278027.99,4359.76
